league_name,level_category_points,league_points_f13
poland2,65.90909091,1200.0
poland3,61.77272727,1000.0
poland4,57.63636364,800.0
slovakia-u18-2,74.18181818,1700.0
spain,61.77272727,1000.0
romania,70.04545455,1400.0
romania-u16,57.63636364,800.0
romania-u18,61.77272727,1000.0
romania-u20,65.90909091,1200.0
romania-w,70.04545455,1400.0
mshl1,78.31818182,2000.0
mshl2,74.18181818,1700.0
mshl3,70.04545455,1400.0
nmhl,82.45454545,2400.0
rshl1,78.31818182,2000.0
rshl2,74.18181818,1700.0
russia-u16,70.04545455,1400.0
russia-u16-2,65.90909091,1200.0
russia-u16-3,61.77272727,1000.0
russia-u17-2,70.04545455,1400.0
russia-u17-3,65.90909091,1200.0
russia-u18-2,74.18181818,1700.0
russia-w,90.72727273,3100.0
shlc,70.04545455,1400.0
shlspb1,65.90909091,1200.0
shlspb2,61.77272727,1000.0
sibshl,65.90909091,1200.0
vhl,90.72727273,3100.0
inthl-u17,65.90909091,1200.0
slovenia-other,70.04545455,1400.0
slovakia,90.72727273,3100.0
slovakia-other,74.18181818,1700.0
slovakia-u16,70.04545455,1400.0
slovakia-u16-2,65.90909091,1200.0
slovakia-u18,78.31818182,2000.0
slovakia-u20,86.59090909,2800.0
